epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,3442.81,0.45893,0.31584,1.02732,0.96696,0.94636,0.97315,0.84581,0.59801,0.30837,1.14589,0.000195159,0.000195159,0.000195159
120,3471.81,0.45195,0.30688,1.02223,0.96812,0.9407,0.97377,0.84535,0.58958,0.30832,1.1407,0.000184566,0.000184566,0.000184566
121,3500.61,0.44433,0.30495,1.01499,0.96491,0.94378,0.97269,0.84557,0.58975,0.31308,1.14028,0.000174262,0.000174262,0.000174262
122,3529.41,0.44383,0.30426,1.01608,0.96039,0.96048,0.97153,0.84147,0.59894,0.31632,1.15193,0.000164251,0.000164251,0.000164251
123,3558.28,0.44151,0.30999,1.01576,0.96287,0.95687,0.97283,0.84285,0.59402,0.31328,1.14904,0.000154538,0.000154538,0.000154538
124,3586.82,0.44747,0.30396,1.01812,0.95807,0.95416,0.97121,0.83967,0.59148,0.31108,1.14679,0.000145125,0.000145125,0.000145125
125,3615.47,0.43939,0.30296,1.01791,0.96266,0.94992,0.96771,0.84269,0.58779,0.31564,1.14459,0.000136018,0.000136018,0.000136018
126,3644.02,0.43155,0.29602,1.00721,0.96275,0.95553,0.97074,0.84453,0.57724,0.30521,1.13826,0.000127221,0.000127221,0.000127221
127,3672.8,0.42996,0.29795,1.01291,0.97042,0.94971,0.97257,0.84533,0.58083,0.30567,1.13736,0.000118737,0.000118737,0.000118737
128,3701.1,0.42338,0.2958,1.00506,0.97232,0.94879,0.97229,0.84045,0.58515,0.30806,1.1407,0.000110571,0.000110571,0.000110571
129,3729.7,0.43286,0.3028,1.01115,0.97274,0.94744,0.97214,0.84364,0.58184,0.31265,1.13782,0.000102725,0.000102725,0.000102725
130,3758.3,0.43186,0.30088,1.00584,0.97459,0.95179,0.97604,0.84868,0.57504,0.30571,1.1314,9.52034e-05,9.52034e-05,9.52034e-05
131,3787,0.42434,0.29162,1.00434,0.97308,0.95712,0.97494,0.84594,0.57646,0.30928,1.13545,8.80093e-05,8.80093e-05,8.80093e-05
132,3815.7,0.41515,0.28879,0.99684,0.97037,0.95001,0.97416,0.84914,0.57677,0.30952,1.13288,8.11458e-05,8.11458e-05,8.11458e-05
133,3844.57,0.43034,0.29822,1.00937,0.968,0.95977,0.97474,0.85164,0.57284,0.30518,1.12983,7.4616e-05,7.4616e-05,7.4616e-05
134,3873.17,0.42561,0.29302,0.99953,0.96506,0.95048,0.97453,0.84954,0.57611,0.30643,1.13421,6.84227e-05,6.84227e-05,6.84227e-05
135,3901.67,0.42228,0.29213,1.00888,0.96261,0.95553,0.97472,0.85002,0.5743,0.30847,1.13282,6.25687e-05,6.25687e-05,6.25687e-05
136,3930.37,0.41878,0.28858,0.99855,0.96586,0.95803,0.97518,0.84991,0.57387,0.30458,1.13098,5.70564e-05,5.70564e-05,5.70564e-05
137,3959.01,0.42013,0.29364,0.99994,0.9675,0.95865,0.97506,0.85168,0.57222,0.30589,1.1291,5.18885e-05,5.18885e-05,5.18885e-05
138,3988.48,0.40811,0.28165,0.99463,0.96905,0.95553,0.97523,0.85032,0.571,0.30672,1.13066,4.7067e-05,4.7067e-05,4.7067e-05
139,4017.31,0.42442,0.29073,1.00045,0.96933,0.95732,0.97581,0.85148,0.56945,0.30494,1.13001,4.25941e-05,4.25941e-05,4.25941e-05
140,4045.97,0.41674,0.29056,1.00193,0.96968,0.95797,0.97636,0.85271,0.56964,0.30332,1.12846,3.84718e-05,3.84718e-05,3.84718e-05
141,4071.7,0.35976,0.24312,0.97655,0.9661,0.95822,0.97503,0.84639,0.5935,0.3115,1.15654,3.47018e-05,3.47018e-05,3.47018e-05
142,4097.21,0.34192,0.21815,0.96887,0.962,0.95822,0.97599,0.848,0.59227,0.30802,1.15567,3.12859e-05,3.12859e-05,3.12859e-05
143,4122.51,0.33057,0.20651,0.94999,0.96105,0.9606,0.97434,0.84734,0.58569,0.31113,1.14771,2.82256e-05,2.82256e-05,2.82256e-05
144,4147.7,0.32625,0.20514,0.9533,0.96255,0.95824,0.97408,0.84771,0.58244,0.31032,1.14454,2.55221e-05,2.55221e-05,2.55221e-05
145,4172.81,0.32397,0.2024,0.94583,0.96003,0.96193,0.97444,0.84813,0.58357,0.30912,1.14643,2.31767e-05,2.31767e-05,2.31767e-05
146,4198.2,0.31634,0.20199,0.94647,0.96555,0.95702,0.97489,0.85039,0.57712,0.30458,1.14098,2.11903e-05,2.11903e-05,2.11903e-05
147,4223.5,0.31834,0.19963,0.94212,0.96473,0.95822,0.97442,0.84967,0.57687,0.3035,1.1411,1.9564e-05,1.9564e-05,1.9564e-05
148,4249.11,0.32161,0.20217,0.93813,0.96299,0.96291,0.97748,0.84977,0.57745,0.30376,1.14227,1.82983e-05,1.82983e-05,1.82983e-05
149,4274.11,0.31531,0.2007,0.93837,0.96325,0.96226,0.97769,0.85152,0.57651,0.3035,1.14061,1.73938e-05,1.73938e-05,1.73938e-05
150,4299.67,0.31796,0.19731,0.93981,0.96319,0.96361,0.97788,0.85196,0.57886,0.30272,1.14351,1.6851e-05,1.6851e-05,1.6851e-05
